ENTRY,DELTAG,UNCERTAINTY,CHARGE,REASON ENERGY COULD NOT BE ESTIMATED,,,,,,
C09464,-319.86,3.34409,0,,,,,,,
C09465,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09466,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09467,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09468,-178.65,3.73336,0,,,,,,,
C09469,-231.2,8.47924,0,,,,,,,
C09470,-58.13,5.9024,0,,,,,,,
C09471,-106.78,2.16676,0,,,,,,,
C09472,-43.42,5.44407,0,,,,,,,
C09473,-80.34,4.57262,0,,,,,,,
C09474,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09475,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09476,19.49,7.64225,0,,,,,,,
C09477,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09478,-262.29,3.29578,0,,,,,,,
C09479,-111.37,3.96867,0,,,,,,,
C09480,-152.13,4.04153,0,,,,,,,
C09481,-124.72,6.38828,0,,,,,,,
C09482,-132.51,4.67867,0,,,,,,,
C09483,-115.01,2.9872,0,,,,,,,
C09484,21.55,5.96358,0,,,,,,,
C09485,-133.39,3.76537,0,,,,,,,
C09486,-201.95,3.6013,0,,,,,,,
C09487,-154.02,4.07397,0,,,,,,,
C09488,-18.29,5.92265,0,,,,,,,
C09489,-87.43,3.59947,0,,,,,,,
C09490,-127.49,3.7245,0,,,,,,,
C09491,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09492,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09493,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09494,-123.19,4.61928,0,,,,,,,
C09495,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09496,-117.79,4.59679,0,,,,,,,
C09497,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09498,-87.58,7.4628,0,,,,,,,
C09499,-134.07,2.88668,0,,,,,,,
C09500,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09501,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09502,-221.77,13.0676,0,,,,,,,
C09503,-30.36,3.99592,0,,,,,,,
C09504,-80.34,4.57262,0,,,,,,,
C09505,-24.85,2.15455,0,,,,,,,
C09506,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09507,-26.29,3.59949,0,,,,,,,
C09508,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09509,-130.72,4.13409,0,,,,,,,
C09510,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09511,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09512,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09513,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09514,-134.33,4.68013,0,,,,,,,
C09515,-127.77,4.68084,0,,,,,,,
C09516,-127.77,4.68084,0,,,,,,,
C09517,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09518,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09519,-39.91,4.08357,0,,,,,,,
C09520,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09521,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09522,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09523,-88.49,6.74243,0,,,,,,,
C09524,-25.54,2.1864,0,,,,,,,
C09525,-285.28,4.9328,0,,,,,,,
C09526,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09527,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09528,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09529,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09530,-74.95,3.98226,0,,,,,,,
C09531,-116.57,4.04374,0,,,,,,,
C09532,-261.27,3.70815,0,,,,,,,
C09533,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09534,-26.29,3.59949,0,,,,,,,
C09535,-102.91,2.85692,0,,,,,,,
C09536,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09537,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09538,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09539,-172.84,4.15981,0,,,,,,,
C09540,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09541,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09542,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09543,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09544,-43.93,4.56863,0,,,,,,,
C09545,-57.32,3.76951,0,,,,,,,
C09546,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09547,-64.86,7.35991,0,,,,,,,
C09548,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09549,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09550,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09551,-237.93,5.59416,0,,,,,,,
C09552,-100.83,6.86886,0,,,,,,,
C09553,-5.65,3.53771,1,,,,,,,
C09554,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09555,-17.84,2.60967,0,,,,,,,
C09556,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09557,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09558,-3.19,2.84019,0,,,,,,,
C09559,-171.18,6.77216,0,,,,,,,
C09560,-177.74,6.77971,0,,,,,,,
C09561,-382.74,4.33325,0,,,,,,,
C09562,-29.48,2.89821,0,,,,,,,
C09563,-315.36,4.12529,0,,,,,,,
C09564,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09565,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09566,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09567,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09568,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09569,-54.96,2.37784,0,,,,,,,
C09570,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09571,-2,1.73818,0,,,,,,,
C09572,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09573,-31.91,3.24308,0,,,,,,,
C09574,-90.41,4.78799,0,,,,,,,
C09575,-55.56,6.42154,0,,,,,,,
C09576,-126.54,6.18227,0,,,,,,,
C09577,-187.91,4.38195,0,,,,,,,
C09578,13.49,7.32713,0,,,,,,,
C09579,-130.84,7.47993,0,,,,,,,
C09580,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09581,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09582,-73.88,6.07536,0,,,,,,,
C09583,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09584,-73.88,6.07536,0,,,,,,,
C09585,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09586,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09587,-115.33,5.79751,0,,,,,,,
C09588,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09589,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09590,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09591,-175.13,3.64414,0,,,,,,,
C09592,-112.37,4.58949,0,,,,,,,
C09593,-127.02,4.49041,0,,,,,,,
C09594,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09595,-23.309,4.74972,1,,,,,,,
C09596,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09597,-5.88,5.73177,0,,,,,,,
C09598,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09599,-71.68,5.30505,0,,,,,,,
C09600,-115.9,4.04203,0,,,,,,,
C09601,-13.49,2.99189,0,,,,,,,
C09602,-104.97,2.93894,0,,,,,,,
C09603,-104.97,2.93894,0,,,,,,,
C09604,-29.88,1.97962,0,,,,,,,
C09605,-21.95,3.55552,0,,,,,,,
C09606,27.64,7.28633,0,,,,,,,
C09607,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09608,62.69,5.2,2,,,,,,,
C09609,34.64,5.66283,0,,,,,,,
C09610,-54.92,3.78231,0,,,,,,,
C09611,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09612,6.48,3.83307,0,,,,,,,
C09613,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09614,-113.81,2.2303,0,,,,,,,
C09615,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09616,-430.77,4.34989,0,,,,,,,
C09617,-278.56,3.24801,0,,,,,,,
C09618,-81.95,1.92379,0,,,,,,,
C09619,-94.76,6.94898,0,,,,,,,
C09621,17.3,1.16277,0,,,,,,,
C09622,-161.92,3.42868,0,,,,,,,
C09623,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09624,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09625,54.06,2.20282,0,,,,,,,
C09626,-31.76,3.96009,0,,,,,,,
C09627,-21.21,3.43209,0,,,,,,,
C09628,-17.9,6.22429,0,,,,,,,
C09629,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09630,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09631,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09632,-40.34,2.15087,0,,,,,,,
C09633,76.23,3.69922,0,,,,,,,
C09634,-91.28,3.60685,0,,,,,,,
C09635,48.58,3.56208,0,,,,,,,
C09636,-247.64,3.39934,0,,,,,,,
C09637,74.22,4.15964,0,,,,,,,
C09638,-146.16,3.44314,0,,,,,,,
C09639,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09640,-17.32,1.65828,0,,,,,,,
C09641,-39.5,2.12399,0,,,,,,,
C09642,-31.97,1.61103,0,,,,,,,
C09643,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09644,-67.3,1.94934,0,,,,,,,
C09645,-58.01,4.01475,0,,,,,,,
C09646,-65.96,2.41017,0,,,,,,,
C09647,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09648,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09649,59.52,1.38595,0,,,,,,,
C09650,-41.13,2.22416,0,,,,,,,
C09651,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09652,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09653,-38.36,3.46979,0,,,,,,,
C09654,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09655,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09656,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09657,-51.66,1.29943,0,,,,,,,
C09658,14.36,1.98251,0,,,,,,,
C09659,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09660,-30.48,2.27124,0,,,,,,,
C09661,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09662,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09663,-9.37,3.44547,0,,,,,,,
C09664,16.27,4.1133,0,,,,,,,
C09665,94.29,1.90125,0,,,,,,,
C09666,93.63,1.86216,0,,,,,,,
C09667,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09668,-93.46,5.55929,-1,,,,,,,
C09669,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09670,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09671,-5.08,3.66494,0,,,,,,,
C09672,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09673,-6.06,1.70716,0,,,,,,,
C09674,-94.01,4.92851,0,,,,,,,
C09675,76.04,3.71256,0,,,,,,,
C09676,14.84,2.32711,0,,,,,,,
C09677,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09678,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09679,-648.98,6.81232,0,,,,,,,
C09680,-110.809,2.72077,0,,,,,,,
C09681,-17.53,1.09081,0,,,,,,,
C09682,-0.5,2.25412,0,,,,,,,
C09683,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09684,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09685,-100.34,6.53618,0,,,,,,,
C09686,-6.47,1.73753,0,,,,,,,
C09687,-44.46,4.07127,0,,,,,,,
C09688,-80.69,4.07175,0,,,,,,,
C09689,-50.73,2.22119,0,,,,,,,
C09690,17.59,1.12348,0,,,,,,,
C09691,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09692,-24.61,6.5421,0,,,,,,,
C09693,-71.91,1.18122,0,,,,,,,
C09694,-41.81,2.23193,0,,,,,,,
C09695,-49.71,1.77787,0,,,,,,,
C09696,60.38,3.93551,0,,,,,,,
C09697,-201.65,3.73625,0,,,,,,,
C09698,0.6,3.75199,0,,,,,,,
C09699,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09700,-25.26,3.43446,0,,,,,,,
C09701,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09702,-108.71,3.41198,0,,,,,,,
C09704,34.17,1.28976,0,,,,,,,
C09705,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09706,-30.35,3.54926,0,,,,,,,
C09707,-156.65,9.22641,-1,,,,,,,
C09708,-83.94,6.5117,0,,,,,,,
C09709,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09710,-24.67,6.47125,0,,,,,,,
C09711,-61.39,1.94231,0,,,,,,,
C09712,-29.7,3.38762,0,,,,,,,
C09714,-118.86,2.81219,0,,,,,,,
C09715,-2.25,2.29386,0,,,,,,,
C09716,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09717,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09718,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09719,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09720,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09721,-30.62,2.02261,-1,,,,,,,
C09722,-45.09,3.3822,0,,,,,,,
C09723,80.55,4.23682,0,,,,,,,
C09724,-55.43,2.89818,-1,,,,,,,
C09725,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09726,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09727,-158.3,2.42596,0,,,,,,,
C09728,-158.3,2.42596,0,,,,,,,
C09729,62.31,1.69347,0,,,,,,,
C09730,61.65,1.65665,0,,,,,,,
C09731,-319.97,3.7828,0,,,,,,,
C09732,-434.02,4.42382,0,,,,,,,
C09733,-2.03,2.43854,0,,,,,,,
C09734,-117.07,2.56473,0,,,,,,,
C09735,-118.82,2.25443,0,,,,,,,
C09736,-158.66,2.32328,0,,,,,,,
C09737,18.64,3.3261,0,,,,,,,
C09738,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09739,-24.48,6.53752,0,,,,,,,
C09740,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09741,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09742,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09743,-13.7,1.75647,-1,,,,,,,
C09744,40.38,4.01886,0,,,,,,,
C09745,35.38,3.93553,0,,,,,,,
C09746,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09747,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09748,-68.87,3.4604,0,,,,,,,
C09749,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09750,66.18,1.54702,0,,,,,,,
C09751,-114.17,2.15163,0,,,,,,,
C09752,-49.49,2.27242,0,,,,,,,
C09753,-80.63,2.47289,-1,,,,,,,
C09754,-243.68,2.66524,0,,,,,,,
C09755,-419.37,4.49091,0,,,,,,,
C09756,-138.64,2.41091,0,,,,,,,
C09757,-0.02,2.06793,0,,,,,,,
C09758,-224.3,4.49586,0,,,,,,,
C09759,-62.84,3.09193,-1,,,,,,,
C09760,-29.3,2.76525,0,,,,,,,
C09761,-279.91,4.88908,-1,,,,,,,
C09762,-74.33,2.11452,0,,,,,,,
C09763,-342.74,5.02405,0,,,,,,,
C09764,-215.93,2.47086,0,,,,,,,
C09765,-309.23,3.25432,0,,,,,,,
C09766,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09767,-334.23,3.66789,0,,,,,,,
C09768,-321.41,7.23147,0,,,,,,,
C09769,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09770,-217.96,2.65361,0,,,,,,,
C09771,-266,3.10491,0,,,,,,,
C09772,-51.89,2.02025,0,,,,,,,
C09773,-309.65,5.27227,0,,,,,,,
C09774,-76.04,2.27582,0,,,,,,,
C09775,-352.88,5.36163,0,,,,,,,
C09776,-250.42,4.47288,0,,,,,,,
C09777,-22.55,1.04575,0,,,,,,,
C09778,-39.82,3.82757,0,,,,,,,
C09779,-344.17,3.07537,0,,,,,,,
C09780,-144.94,2.12955,0,,,,,,,
C09781,-303.42,3.02188,0,,,,,,,
C09782,-231.1,3.24917,0,,,,,,,
C09783,-312.04,4.23252,0,,,,,,,
C09784,-366.49,4.04821,0,,,,,,,
C09785,-42.14,0.917855,0,,,,,,,
C09786,-53.88,1.95703,0,,,,,,,
C09787,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09788,-348.32,3.04635,-1,,,,,,,
C09789,-394.54,4.31745,0,,,,,,,
C09790,-56.14,2.06721,0,,,,,,,
C09791,-41.74,1.89785,0,,,,,,,
C09792,-41.74,1.89785,0,,,,,,,
C09793,-394.54,4.31745,0,,,,,,,
C09794,-363.79,3.62458,0,,,,,,,
C09795,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09796,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09797,-366.31,4.48441,0,,,,,,,
C09798,-343.26,3.13877,0,,,,,,,
C09799,-260.25,6.86991,0,,,,,,,
C09800,-293.65,4.15321,0,,,,,,,
C09801,-235.86,4.38521,0,,,,,,,
C09802,-312.61,3.00707,0,,,,,,,
C09803,-315.38,3.32668,0,,,,,,,
C09804,-44,1.98794,0,,,,,,,
C09805,-434.02,4.42382,0,,,,,,,
C09806,-419.37,4.49091,0,,,,,,,
C09807,-90.69,2.08213,0,,,,,,,
C09808,-287.29,3.36854,0,,,,,,,
C09809,-740.32,3.95736,-3,,,,,,,
C09810,-740.29,3.86396,-3,,,,,,,
C09811,-750.85,3.78005,-3,,,,,,,
C09812,-801.28,3.79753,-3,,,,,,,
C09813,-794.72,3.73014,-3,,,,,,,
C09814,41.1,4.98197,0,,,,,,,
C09815,-10.61,0.96059,0,,,,,,,
C09816,-126.28,0.839998,-2,,,,,,,
C09817,-825.36,3.65145,-4,,,,,,,
C09818,-809.93,3.68703,-4,,,,,,,
C09819,-863.4,3.6625,-4,,,,,,,
C09820,-856.93,3.67449,-4,,,,,,,
C09821,-785.68,3.75762,-3,,,,,,,
C09822,-62.36,1.25865,-1,,,,,,,
C09823,-761.44,3.7918,-3,,,,,,,
C09824,-841.12,3.8356,-3,,,,,,,
C09825,-834.56,3.75226,-3,,,,,,,
C09826,-114.17,2.15163,0,,,,,,,
C09827,-74.33,2.11452,0,,,,,,,
C09828,-355.06,4.24012,0,,,,,,,
C09829,-179.1,3.15718,0,,,,,,,
C09830,-379.89,4.38979,0,,,,,,,
C09831,-113.8,2.65051,0,,,,,,,
C09832,-88.97,2.42964,0,,,,,,,
C09833,-99.16,2.25237,0,,,,,,,
C09834,-262.97,7.79173,-1,,,,,,,
C09835,-262.97,7.79173,-1,,,,,,,
C09836,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09837,-80.7,6.18824,0,,,,,,,
C09839,46.02,2.5206,0,,,,,,,
C09840,-11.73,1.09973,0,,,,,,,
C09841,-27.12,3.70284,0,,,,,,,
C09842,-37.95,1.79244,-1,,,,,,,
C09843,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09844,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09845,-10.46,2.24806,0,,,,,,,
C09846,-87.31,2.40017,0,,,,,,,
C09847,17.34,1.03801,0,,,,,,,
C09848,-2.91,0.663637,0,,,,,,,
C09849,-12.39,0.695238,0,,,,,,,
C09850,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09851,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09852,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09853,-113.48,1.66939,0,,,,,,,
C09854,-35.72,1.40015,-1,,,,,,,
C09855,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09856,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09858,-12.74,2.19135,0,,,,,,,
C09859,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09860,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09861,-28.04,1.137,0,,,,,,,
C09862,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09863,-31.37,0.987246,0,,,,,,,
C09864,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09865,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09866,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09867,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09868,22.09,2.22805,0,,,,,,,
C09869,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09870,-60.76,1.16644,0,,,,,,,
C09871,9.41,1.02342,0,,,,,,,
C09872,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09873,66.2,1.51122,0,,,,,,,
C09874,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09875,38.09,1.43718,0,,,,,,,
C09876,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09877,63.73,2.51113,0,,,,,,,
C09878,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09879,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09880,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09881,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09882,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09883,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09884,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09885,-6.16,0.883622,0,,,,,,,
C09886,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09887,6.33,2.4419,0,,,,,,,
C09888,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09889,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09890,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09891,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09892,58.67,2.9901,0,,,,,,,
C09893,19.58,2.36228,0,,,,,,,
C09894,-68.81,2.51257,0,,,,,,,
C09895,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09896,-11.93,4.27359,0,,,,,,,
C09897,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09898,39.67,1.47164,0,,,,,,,
C09899,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09900,44.49,1.41073,0,,,,,,,
C09901,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09902,-10.79,1.01205,0,,,,,,,
C09903,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09904,-29.32,1.73277,0,,,,,,,
C09905,-29.32,1.73277,0,,,,,,,
C09906,-11.66,3.56758,0,,,,,,,
C09907,3.54,2.2143,0,,,,,,,
C09908,-11.73,1.09973,0,,,,,,,
C09909,-49.18,1.20615,0,,,,,,,
C09910,68.14,2.10482,0,,,,,,,
C09911,-1.07,3.57386,0,,,,,,,
C09912,17.02,3.05373,1,,,,,,,
C09913,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09914,-212.88,2.89866,0,,,,,,,
C09915,39.84,2.1164,0,,,,,,,
C09916,-150.63,4.49965,-2,,,,,,,
C09917,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09918,-25.94,2.0412,0,,,,,,,
C09919,-282.84,2.7012,0,,,,,,,
C09920,-124.95,4.28724,0,,,,,,,
C09921,-39.1,2.70232,0,,,,,,,
C09922,-184.45,3.63413,0,,,,,,,
C09923,-67.05,2.47808,0,,,,,,,
C09924,-184.45,3.63413,0,,,,,,,
C09925,-16.34,2.03452,0,,,,,,,
C09926,-102.72,2.5301,0,,,,,,,
C09927,-111.44,3.98224,-1,,,,,,,
C09928,-57.14,1.62052,0,,,,,,,
C09929,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09930,-87.25,2.25076,0,,,,,,,
C09931,-164.43,4.36206,0,,,,,,,
C09932,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09933,-48.55,2.15378,0,,,,,,,
C09934,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09935,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09936,-38.85,2.18971,0,,,,,,,
C09937,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09938,2.32,1.61443,0,,,,,,,
C09939,-75.96,2.21511,0,,,,,,,
C09940,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09941,-12.46,2.79434,-1,,,,,,,
C09942,-77.109,2.81201,0,,,,,,,
C09943,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09944,-132.748,5.18378,0,,,,,,,
C09945,36.65,2.37523,0,,,,,,,
C09946,-59.23,2.48683,0,,,,,,,
C09947,-18.84,1.48046,0,,,,,,,
C09948,39.85,2.96154,-1,,,,,,,
C09949,31.3,2.19488,0,,,,,,,
C09950,-6.389,2.70102,0,,,,,,,
C09951,-165.7,2.44219,0,,,,,,,
C09952,-85.18,2.60391,0,,,,,,,
C09953,-152.22,2.68715,0,,,,,,,
C09954,-72.779,2.35127,0,,,,,,,
C09955,-156.29,2.32221,-1,,,,,,,
C09956,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C09957,-5.19,2.30462,0,,,,,,,
C09958,-141.36,1.78931,0,,,,,,,
C09959,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C09960,-50.9,2.4345,0,,,,,,,
C09961,-25.32,2.2873,0,,,,,,,
C09962,-42.03,2.24282,0,,,,,,,
C09963,-92.32,1.90061,0,,,,,,,
C09964,-123.74,2.30489,-1,,,,,,,
C09965,-203.19,1.83372,0,,,,,,,
